ID,Prediction_baseline,BaselineRank,Prediction_experiment,ExperimentRank,RankShift
279720,0.392337983901537,119977,0.6715000321130016,85240,34737
475517,0.436584617613649,114752,0.7274899381288504,80415,34337
488326,0.434343151785398,115035,0.7190548568467101,81191,33844
239494,0.44021508481228,114330,0.7208492218893275,81018,33312
38798,0.417734798850132,116971,0.6888127610353851,83741,33230
157911,0.411888682702492,117640,0.6754590317008033,84901,32739
364459,0.436079388926601,114821,0.7047282753828484,82359,32462
305947,0.424042484438446,116186,0.6874543082838043,83839,32347
171041,0.411888682702492,117641,0.6705518176121115,85318,32323
59724,0.427960191154316,115741,0.6922506479613564,83442,32299
401695,0.411455085070571,117697,0.6683984035496964,85516,32181
330406,0.44776470219355,113468,0.717715530950549,81289,32179
79525,0.435743048652259,114868,0.6986910440191739,82888,31980
322411,0.423906970565673,116202,0.6807998219887479,84432,31770
292653,0.455918336943044,112534,0.7186924682549221,81213,31321
8135,0.396257692254723,119552,0.6377298891416987,88231,31321
232248,0.420254848152174,116662,0.6698716649967311,85382,31280
222558,0.422365301242566,116376,0.6713730221124524,85253,31123
415794,0.486757895997295,109144,0.755007071218727,78127,31017
231458,0.444250527894017,113897,0.6983021418819507,82924,30973
192917,0.415653074984788,117190,0.6595829711413509,86257,30933
250305,0.426724076156826,115869,0.6748333382989734,84957,30912
321330,0.415842633399828,117162,0.6592532504861883,86293,30869
115937,0.441660257649265,114175,0.6940202688741148,83309,30866
494316,0.400679443931309,118994,0.6383807116252326,88176,30818
418778,0.436905604847672,114710,0.6863938492024477,83936,30774
72336,0.44265093600587,114060,0.6938552421047394,83325,30735
361535,0.455973897896939,112527,0.7117878768799805,81796,30731
408127,0.440388955461128,114306,0.6907492820574088,83576,30730
429475,0.41996127766215,116695,0.6610598686545756,86125,30570
35950,0.434511086897676,115013,0.680106426980174,84487,30526
263885,0.474298149795309,110529,0.7316641026295184,80019,30510
431138,0.398749421283613,119262,0.6317728853381485,88754,30508
388046,0.49523266266878,108205,0.7596122922518028,77765,30440
449254,0.398978729351378,119228,0.6312302805576375,88801,30427
467376,0.415343804108193,117230,0.6536464656550116,86825,30405
6209,0.490929437869294,108696,0.7520086799999366,78348,30348
475068,0.455948115226132,112531,0.7069779521190287,82191,30340
42773,0.395050675088161,119692,0.6246963128790765,89366,30326
464815,0.421805648091151,116463,0.6608121417075293,86150,30313
