Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,80220.59256910923,49545.84431259001,30674.74825651922,61.911848878765625,30674.74825651922
f21,37530.72443372878,48447.90978536613,-10917.185351637352,-22.53386245145075,10917.185351637352
f17,18765.08356749466,27348.0727096069,-8582.989142112237,-31.384255970246794,8582.989142112237
f18,17775.63299193988,24103.568482868246,-6327.935490928365,-26.253106445321496,6327.935490928365
f6,1351.349213370857,5036.199476241936,-3684.8502628710794,-73.167281801569,3684.8502628710794
f1,1228.7691786386297,169.12483024668563,1059.644348391944,626.5456981369003,1059.644348391944
f7,5452.04789059797,6281.001066073552,-828.9531754755817,-13.197787530289117,828.9531754755817
f10,707.2312925520758,1275.034625267655,-567.8033327155791,-44.53238535356528,567.8033327155791
f5,3055.8207378689262,3568.982849252442,-513.1621113835158,-14.378385468873928,513.1621113835158
f8,199.35691686149997,476.8129444617576,-277.4560276002576,-58.18970118637598,277.4560276002576
f9,223.702931066532,491.5527389846695,-267.84980791813746,-54.49055343916844,267.84980791813746
f14,0.2849872189538012,102.39638597710385,-102.11139875815005,-99.72168234627195,102.11139875815005
f16,32.08560422112396,55.028552739745656,-22.942948518621698,-41.6928074178673,22.942948518621698
f12,23.177073225770055,43.371461759491346,-20.19438853372129,-46.56146626024653,20.19438853372129
f15,0.523281798695672,6.449608355091383,-5.926326556395711,-91.88661125008329,5.926326556395711
f22,1.5372527329515877,5.938509247978735,-4.401256515027147,-74.11382775105022,4.401256515027147
f13,0.0005472704884389109,1.2454508937537658,-1.244903623265327,-99.95605844508334,1.244903623265327
f19,1.624952499049981,2.0732014640292804,-0.44824896497929934,-21.621100156283152,0.44824896497929934
f23,1.0465631929046564,1.2950940224813532,-0.2485308295766968,-19.190176563437515,0.2485308295766968
f3,0.2755,0.04902,0.22648000000000001,462.01550387596905,0.22648000000000001
f2,0.40496,0.2673,0.13766,51.500187055742614,0.13766
f20,1.1451209507993356,1.2784078407840784,-0.1332868899847428,-10.426006923032851,0.1332868899847428
f11,0.05385862480092163,0.01828950399630307,0.03556912080461856,194.4783238069676,0.03556912080461856
