Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f4,160956.8624484762,58350.49212579295,102606.37032268324,175.84490993063562,102606.37032268324
f21,42197.04251543927,70121.23877396477,-27924.196258525495,-39.822736658345285,27924.196258525495
f7,3897.4076380667075,26525.237378087597,-22627.82974002089,-85.3067944972046,22627.82974002089
f6,1281.299986969578,13693.961527777199,-12412.661540807621,-90.64332125973513,12412.661540807621
f17,19377.068698209034,27318.490242931104,-7941.42154472207,-29.06976730449803,7941.42154472207
f18,17476.679699175627,25241.406719239494,-7764.727020063867,-30.76186326075654,7764.727020063867
f1,6728.5878175976895,11.883106962091341,6716.7047106355985,56523.13601201068,6716.7047106355985
f10,683.0120559789797,5043.6996576284,-4360.687601649421,-86.45811403647023,4360.687601649421
f9,215.1110159332213,1856.638878566,-1641.5278626327786,-88.4139550013428,1641.5278626327786
f8,204.27316208772746,1770.5116936728,-1566.2385315850725,-88.46247879538274,1566.2385315850725
f14,12.41525649732457,115.71807558399999,-103.30281908667541,-89.27111738190607,103.30281908667541
f5,3288.767808017193,3379.1136677578324,-90.3458597406393,-2.67365553880841,90.3458597406393
f12,23.94543742106728,40.037317053448696,-16.091879632381417,-40.192202716528705,16.091879632381417
f16,50.448148449547396,63.41687288365785,-12.968724434110456,-20.449958890124364,12.968724434110456
f15,2.395719313950886,7.11386,-4.718140686049114,-66.32321532963981,4.718140686049114
f13,0.19962971251856523,1.25982,-1.0601902874814346,-84.15410832352515,1.0601902874814346
f3,0.33306,0.0004,0.33266,83164.99999999999,0.33266
f22,5.02068588799696,4.801829990992272,0.21885589700468788,4.557760216734839,0.21885589700468788
f19,1.88422,1.7313892555702228,0.15283074442977718,8.827058614236535,0.15283074442977718
f11,0.08085312802616793,0.005402162282783588,0.07545096574338434,1396.680843591883,0.07545096574338434
f23,1.3213907518531591,1.2708900673641967,0.05050068448896239,3.973646957025945,0.05050068448896239
f20,1.2105610561056106,1.1653398407808937,0.0452212153247169,3.8805174029246428,0.0452212153247169
f2,0.06838,0.0814,-0.013020000000000004,-15.995085995086,0.013020000000000004
