Feature,Promoted,Demoted,Difference,PercentDifference,AbsDifference
f1,2465.584700843593,2465.584700843593,0.0,0.0,0.0
f2,0.17376,0.17376,0.0,0.0,0.0
f3,0.10848,0.10848,0.0,0.0,0.0
f4,126847.02916078173,126847.02916078173,0.0,0.0,0.0
f5,3427.6457216258127,3427.6457216258127,0.0,0.0,0.0
f6,10030.03604823499,10030.03604823499,0.0,0.0,0.0
f7,30585.452736973297,30585.452736973297,0.0,0.0,0.0
f8,1524.546250817058,1524.546250817058,0.0,0.0,0.0
f9,1664.443170010908,1664.443170010908,0.0,0.0,0.0
f10,4540.79096428475,4540.79096428475,0.0,0.0,0.0
f11,0.03365131246731829,0.03365131246731829,0.0,0.0,0.0
f12,30.94665740799192,30.94665740799192,0.0,0.0,0.0
f13,0.4824117501851395,0.4824117501851395,0.0,0.0,0.0
f14,42.95385488151074,42.95385488151074,0.0,0.0,0.0
f15,4.0056776104665515,4.0056776104665515,0.0,0.0,0.0
f16,53.456558731073116,53.456558731073116,0.0,0.0,0.0
f17,24314.772543035622,24314.772543035622,0.0,0.0,0.0
f18,22150.148789107163,22150.148789107163,0.0,0.0,0.0
f19,1.8063,1.8063,0.0,0.0,0.0
f20,1.1912191219121913,1.1912191219121913,0.0,0.0,0.0
f21,61902.02136471506,61902.02136471506,0.0,0.0,0.0
f22,4.555128205128205,4.555128205128205,0.0,0.0,0.0
f23,1.3061716489874637,1.3061716489874637,0.0,0.0,0.0
