ID,Prediction_baseline,BaselineRank,Prediction_experiment,ExperimentRank,RankShift
43444,0.404208926066848,118591,0.4320535926804758,116084,2507
274674,0.393827542693531,119817,0.4215611030407609,117310,2507
316028,0.398512396569168,119296,0.4258986918509999,116815,2481
356114,0.406673712978555,118246,0.4348222283715658,115766,2480
112305,0.403575101806765,118659,0.4311389976680855,116199,2460
368007,0.400248553410806,119056,0.427663905071641,116604,2452
404740,0.475218919023416,110439,0.5047915427469912,108018,2421
26665,0.412657936368126,117531,0.4402768420623605,115120,2411
400630,0.411894581814931,117638,0.4393450116956045,115230,2408
144495,0.42794620623175,115744,0.4559605193300352,113336,2408
163292,0.485386699204945,109301,0.5155992749899257,106897,2404
256741,0.396385991524984,119536,0.4230206438726913,117148,2388
222434,0.449311095996123,113299,0.4777137039953744,110920,2379
239367,0.39609360633529,119572,0.4225863274990037,117198,2374
480627,0.408842304317077,118008,0.4357250599564404,115655,2353
246376,0.642472442879528,93832,0.6728819867045485,91487,2345
323209,0.413654677044104,117419,0.4406383498533198,115080,2339
10743,0.415724630490158,117181,0.4427124138769161,114843,2338
267811,0.651709099021824,92957,0.6816165171262081,90621,2336
211810,0.406385009590207,118277,0.4330662282275772,115944,2333
287759,0.395121170509115,119679,0.4211454377912389,117360,2319
23317,0.419562795627603,116749,0.4463211150181579,114430,2319
306357,0.433220655692064,115167,0.4601676269106103,112864,2303
347464,0.400012057816555,119088,0.4261696583002308,116787,2301
389716,0.410338749364831,117833,0.4366405785080946,115534,2299
60988,0.646160038024387,93483,0.6759280868233017,91185,2298
458172,0.409940190161374,117878,0.436265866248652,115585,2293
372757,0.393106933472678,119896,0.4191269024781406,117604,2292
47339,0.643610696416715,93724,0.6733513432559544,91442,2282
299314,0.401365996288134,118910,0.4274995697281952,116630,2280
357056,0.663888717872318,91818,0.6939504464911542,89541,2277
202744,0.470517331736979,110929,0.4989430805364961,108657,2272
83693,0.634205040371676,94665,0.6638528936397035,92399,2266
486734,0.630252745859779,95046,0.6601424042532766,92781,2265
232180,0.461928046306862,111865,0.4900591323504109,109603,2262
173206,0.395057896738807,119690,0.420524739521372,117430,2260
248023,0.441675495745858,114174,0.4685983008526904,111923,2251
324702,0.525219679597415,105151,0.5553645547153938,102900,2251
42945,0.462062235454607,111848,0.4900764897723533,109600,2248
393684,0.500873118590696,107629,0.5306750251319479,105383,2246
164242,0.446109256631386,113677,0.4729796401914717,111431,2246
471165,0.450011998578188,113214,0.4772478518268195,110969,2245
306502,0.644624267392199,93642,0.6736763955903239,91398,2244
117232,0.454405031202328,112707,0.4816677278795183,110468,2239
247710,0.413189449264861,117472,0.4393119981358038,115237,2235
