Feature,ALL_AGREE_Mean,ALL_AGREE_Median,ALL_AGREE_P75,ALL_AGREE_P90,BEST_ONLY_Mean,BEST_ONLY_Median,BEST_ONLY_P75,BEST_ONLY_P90,LTV_ONLY_Mean,LTV_ONLY_Median,LTV_ONLY_P75,LTV_ONLY_P90,PROFIT_ONLY_Mean,PROFIT_ONLY_Median,PROFIT_ONLY_P75,PROFIT_ONLY_P90,NONE_Mean,NONE_Median,NONE_P75,NONE_P90,Agree_vs_None,Best_vs_Agree,LTV_vs_Agree,Profit_vs_Agree
f1,7810.234804552545,5723.26,17249.01728,17967.72633,5950.900753718385,3991.41435,8924.10915,17608.37181,874.3366120468862,0.0,0.0,1550.740534,7596.72983431604,10426.05795,13185.51398,14829.356016,1183.4257644875406,0.0,1174.44379175,4010.4996650000007,6626.809040065004,-1859.3340508341598,-6935.898192505659,-213.50497023650496
f2,0.017531461161738267,0.0,0.0,0.0,0.03546135952442492,0.0,0.0,0.0,0.07891038083126967,0.0,0.0,0.0,0.11793214862681745,0.0,0.0,1.0,0.21816192101873474,0.0,0.0,1.0,-0.20063045985699648,0.01792989836268665,0.0613789196695314,0.10040068746507919
f3,0.01356394519868576,0.0,0.0,0.0,0.12178857585939519,0.0,0.0,1.0,0.017067130714142294,0.0,0.0,0.0,0.5945072697899838,1.0,1.0,1.0,0.1276533914190866,0.0,0.0,1.0,-0.11408944622040085,0.10822463066070943,0.003503185515456534,0.580943324591298
f4,244837.71701007982,142131.9,421306.92,684326.9560000004,52833.79017669661,25450.6,71110.76000000001,132993.73200000005,409753.2505077002,386618.4,616737.155,697899.35,273466.5383159427,265042.69,393451.56,641253.584,58052.028262602194,27292.22,84764.42,154263.36000000007,186785.68874747763,-192003.92683338322,164915.53349762037,28628.82130586286
f5,4242.562547941642,2628.8878969999996,6528.5871685,12987.2331,3625.1670527305737,2336.227981,5248.634628,9741.961334000003,4511.58945296516,2836.4877615,7326.52602375,13188.3915,3872.5240278702126,2570.992117,5453.4393745,10656.067774000003,3247.2056899673003,2065.312315,4560.3227355,8390.280901000006,995.3568579743419,-617.3954952110685,269.02690502351743,-370.0385200714295
f6,22234.725871509287,16742.2612,40253.3884,51676.44768,15601.362286764499,10900.30535,22605.56175,40317.4401,11364.923009551094,5619.05475,15963.7053,33214.00914,6017.9299570766125,1202.5554499999998,6262.717275,18697.034789999998,6120.220384707867,2468.2508,7761.0806,16671.40002,16114.50548680142,-6633.363584744788,-10869.802861958193,-16216.795914432674
f7,81731.50865962062,82029.0661,140805.7432,146700.554,50310.85160383776,47998.4927,72276.115475,93456.53255,27509.48851843178,22815.03785,43287.843824999996,62308.33015,19679.507619475804,9701.006300000001,30846.474325000003,53453.79801,15152.795705434577,8372.6208,22069.7862,40685.21796,66578.71295418605,-31420.657055782867,-54222.02014118884,-62052.00104014482
f8,3670.0310546871237,2364.6951,6983.0072,9325.67526,2614.4787745738436,1551.6349500000001,3958.603125,7578.349700000001,1395.5570720717662,290.932,1758.7513000000001,4502.058660000001,821.7325072177418,0.0,536.604,2692.663149999999,845.6552883807716,116.7594,892.7984,2595.9228800000014,2824.375766306352,-1055.5522801132802,-2274.4739826153573,-2848.298547469382
f9,4049.808993217017,2463.3972,7614.9944,10720.70406,2662.6755899647806,1339.38085,3879.01775,8251.82405,1801.6055493251622,431.66909999999996,2313.46245,5941.551840000001,1088.8439894758064,0.0,866.8857,3479.3016599999987,892.9036459895934,74.8935,869.603,2682.770040000001,3156.9053472274236,-1387.1334032522363,-2248.2034438918545,-2960.9650037412102
f10,10331.577670809103,8924.7234,18642.2688,21650.582,8119.277575294671,6627.66885,12384.6705,18842.262499999997,4223.041560928825,2234.2995,6189.510375,11475.112290000001,2731.4016608467746,752.8024,3489.4689750000002,7988.8048100000005,2666.6853420280063,996.0057,3500.5012,7702.29618,7664.892328781098,-2212.3000955144325,-6108.536109880279,-7600.176009962329
f11,0.010299976952120721,0.0006767,0.008245,0.0309375,0.02958142330283813,0.00140935,0.021012674999999998,0.10274924999999999,0.003740351697355206,0.0,0.0002375,0.0039024600000000013,0.04344634664723032,0.0118482,0.047316750000000005,0.115885,0.04023485919070882,0.0006834,0.01576925,0.17647404000000025,-0.0299348822385881,0.019281446350717407,-0.0065596252547655155,0.033146369695109604
f12,29.279257641921397,18.0,39.0,74.0,31.131223158899317,21.0,42.0,77.0,27.839967445989938,16.0,37.0,77.0,20.591904938730043,11.0,26.0,51.0,31.418949636115062,20.0,43.0,83.0,-2.139691994193665,1.85196551697792,-1.4392901959314592,-8.687352703191355
f13,0.6032348490486468,0.0,1.0,2.0,0.6704998704998705,0.0,1.0,3.0,0.5110616484554161,0.0,1.0,2.0,0.0856372218476062,0.0,0.0,0.0,0.446341893560159,0.0,1.0,2.0,0.15689295548848775,0.0672650214512237,-0.09217320059323064,-0.5175976272010405
f14,56.97253343752326,0.0,119.948375,196.0,57.01687998963998,0.0,121.6962,198.0,46.78017313503305,0.0,83.869625,194.0,4.921610249494268,0.0,0.0,0.0,39.446356871108215,0.0,51.4897,193.41316000000003,17.526176566415046,0.04434655211672123,-10.192360302490208,-52.05092318802899
f15,4.747116171764531,4.0,8.0,10.0,4.848122248122248,5.0,9.0,11.0,3.8055443140428977,3.0,7.0,10.0,1.3004045853000674,0.0,2.0,5.0,3.8122502136665175,3.0,7.0,10.0,0.9348659580980132,0.10100607635771741,-0.941571857721633,-3.4467115864644633
