Pair,Feature,SpearmanWithRankDelta
LTV_vs_PROFIT,RetentionMultiplier,-0.6189791783424043
BEST_vs_PROFIT,benefit_cost,-0.5769570768397065
LTV_vs_PROFIT,benefit_count,-0.5624271419181821
LTV_vs_PROFIT,benefit_cost,-0.5275286811528982
BEST_vs_PROFIT,benefit_count,-0.4993934947427017
BEST_vs_PROFIT,RetentionMultiplier,-0.4563895361010451
BEST_vs_PROFIT,f15,-0.4556528716895278
BEST_vs_LTV,rewards_breakage,0.44837197285373215
BEST_vs_PROFIT,rewards_breakage,0.4361107935088055
BEST_vs_LTV,benefit_cost,-0.4356181147249846
LTV_vs_PROFIT,f15,-0.4261716070280444
LTV_vs_PROFIT,f14,-0.40838495694377475
BEST_vs_PROFIT,f14,-0.3796710260621444
BEST_vs_LTV,f4,0.36578280220155585
LTV_vs_PROFIT,f13,-0.36522336705389813
BEST_vs_LTV,benefit_count,-0.3462191698793069
BEST_vs_PROFIT,f4,0.34334916179048086
BEST_vs_LTV,f15,-0.3432659844017947
LTV_vs_PROFIT,category_spend,-0.34014425189206027
LTV_vs_PROFIT,interchange_revenue,-0.3401442518765712
BEST_vs_PROFIT,category_spend,-0.33282672207825126
BEST_vs_PROFIT,interchange_revenue,-0.3328267220763946
BEST_vs_PROFIT,f16,-0.32656323698086875
BEST_vs_PROFIT,f13,-0.31297612004254816
BEST_vs_PROFIT,f3,0.2893428008024987
LTV_vs_PROFIT,servicing_cost,0.28050155796502846
LTV_vs_PROFIT,f3,0.2769639774857781
BEST_vs_LTV,RetentionMultiplier,-0.26833502319817315
BEST_vs_LTV,f14,-0.26774312268586997
BEST_vs_LTV,f16,-0.2550525239362624
BEST_vs_PROFIT,servicing_cost,0.24890411667944132
LTV_vs_PROFIT,expected_credit_loss,0.2428037231211512
LTV_vs_PROFIT,f16,-0.24209817070701287
LTV_vs_PROFIT,f11,0.23464802650089614
BEST_vs_LTV,f1,-0.23315347553977125
BEST_vs_LTV,interest_revenue,-0.23046747847526408
BEST_vs_LTV,category_spend,-0.22972653535380078
BEST_vs_LTV,interchange_revenue,-0.22972653534899345
BEST_vs_LTV,f13,-0.2131364690129005
LTV_vs_PROFIT,interest_revenue,0.21127094819988496
LTV_vs_PROFIT,f1,0.20870756512201194
BEST_vs_LTV,expected_credit_loss,-0.1514031110142845
BEST_vs_LTV,f3,0.15058551810916873
BEST_vs_LTV,servicing_cost,0.14524529064339886
LTV_vs_PROFIT,LTV_Profitability,-0.12549849335987118
BEST_vs_PROFIT,f1,-0.11380813876423541
BEST_vs_PROFIT,interest_revenue,-0.10972370997919648
LTV_vs_PROFIT,f22,-0.10606679863010679
LTV_vs_PROFIT,f2,0.10601223607763487
LTV_vs_PROFIT,f19,-0.09604466855150359
LTV_vs_PROFIT,f17,-0.09297693393612139
BEST_vs_PROFIT,f11,0.08788172308324357
LTV_vs_PROFIT,f20,-0.07500232752117539
BEST_vs_LTV,NetProfit,-0.06495516803754978
BEST_vs_PROFIT,f2,0.058344122362647875
BEST_vs_LTV,LTV_Profitability,-0.05518834053212216
BEST_vs_PROFIT,LTV_Profitability,-0.05518268917600637
BEST_vs_LTV,f2,0.0489564767240993
LTV_vs_PROFIT,NetProfit,-0.0456563921824722
BEST_vs_LTV,f20,0.04034548999634903
LTV_vs_PROFIT,f23,-0.034778986908358005
BEST_vs_PROFIT,NetProfit,-0.034040596354898076
BEST_vs_LTV,f23,0.033891914049910155
BEST_vs_LTV,f19,0.03295170111484709
BEST_vs_PROFIT,expected_credit_loss,-0.029051271824400888
LTV_vs_PROFIT,rewards_breakage,0.027126285066743798
BEST_vs_LTV,f22,0.024099715562213412
BEST_vs_PROFIT,f23,0.020971201906936594
LTV_vs_PROFIT,f4,-0.019468026204374198
BEST_vs_LTV,f17,0.018127890315876482
BEST_vs_PROFIT,f17,-0.014654963209929388
BEST_vs_LTV,f11,-0.009037942337773993
BEST_vs_PROFIT,f20,0.006914547005358343
BEST_vs_PROFIT,f22,-0.006585035149500334
BEST_vs_PROFIT,f19,-0.004425599473890312
BEST_vs_PROFIT,f5,0.004159321478888508
LTV_vs_PROFIT,f5,0.0039758431472321
BEST_vs_LTV,f5,-0.0002760836314029293
