Feature,Range,Std,MaxGroup,MinGroup
f4,356919.4603310036,152404.05400643122,LTV_ONLY,BEST_ONLY
f7,66578.71295418605,27512.923214402555,ALL_AGREE,NONE
f21,57781.51385134614,29035.780761233673,ALL_AGREE,LTV_ONLY
f6,16216.795914432674,6857.861298946474,ALL_AGREE,PROFIT_ONLY
f17,10957.048219518489,4399.170940452234,LTV_ONLY,PROFIT_ONLY
f18,7870.564908172801,3269.840694278831,LTV_ONLY,PROFIT_ONLY
f10,7664.892328781098,3444.660951367328,ALL_AGREE,NONE
f1,6935.898192505659,3414.305491064256,ALL_AGREE,LTV_ONLY
f9,3156.9053472274236,1292.953285932543,ALL_AGREE,NONE
f8,2848.298547469382,1241.7328682553734,ALL_AGREE,PROFIT_ONLY
f5,1264.3837629978593,498.45237145180084,LTV_ONLY,NONE
f14,52.09526974014571,21.500772661956276,BEST_ONLY,PROFIT_ONLY
f16,20.40774895590706,8.388522225026946,ALL_AGREE,PROFIT_ONLY
f12,10.82704469738502,4.416506034801925,NONE,PROFIT_ONLY
f15,3.5477176628221807,1.4314676670545101,BEST_ONLY,PROFIT_ONLY
f22,0.8416571819215983,0.41799324332266147,LTV_ONLY,NONE
f13,0.5848626486522642,0.2278768634450394,BEST_ONLY,PROFIT_ONLY
f3,0.580943324591298,0.24086503595015085,PROFIT_ONLY,ALL_AGREE
f19,0.2984081751092782,0.11571372723188314,LTV_ONLY,BEST_ONLY
f2,0.20063045985699648,0.07982799423110351,NONE,ALL_AGREE
f20,0.13945618230333978,0.05134668552116162,LTV_ONLY,BEST_ONLY
f23,0.11180614778729359,0.05812142862442158,LTV_ONLY,NONE
f11,0.03970599494987512,0.017750779414675646,PROFIT_ONLY,LTV_ONLY
