,AMEX_R1_BEST_087,AMEX_R1_LTV_Model_079,AMEX_R1_NetProfit_Model_077,campus_challenge_r1_submission_deepank_1 (2)_049,campus_challenge_r1_submission_ensemble_066,campus_challenge_r1_submission_v10_063,campus_challenge_r1_v7_submission_067,submission (1)_053,submission1_50,submission2_26
AMEX_R1_BEST_087,1.0,0.9190435066529178,0.9179040947858749,0.45503637912300193,0.6714611590338264,0.7620335485363715,0.5541372394141957,0.35113304711154353,0.22984074919685762,0.10176674989615503
AMEX_R1_LTV_Model_079,0.9190435066529178,0.9999999999999998,0.9845641347560964,0.40554969414573144,0.6458731564923023,0.6064271715381989,0.5795569562937798,0.35159127533489026,0.20143521306522721,0.11921280722945597
AMEX_R1_NetProfit_Model_077,0.9179040947858749,0.9845641347560964,1.0,0.39215773851311964,0.6472619047547565,0.6193648206181444,0.5937974460039477,0.35378227216515956,0.23533248964494305,0.1182540478700256
campus_challenge_r1_submission_deepank_1 (2)_049,0.45503637912300193,0.40554969414573144,0.39215773851311964,1.0,0.6542393091281765,0.36572622931763027,0.4802928948339936,0.23865078238517004,0.43004946338271527,0.5783072271125166
campus_challenge_r1_submission_ensemble_066,0.6714611590338264,0.6458731564923023,0.6472619047547565,0.6542393091281765,1.0,0.5748424437831727,0.7164646167781729,0.5692975831129934,0.5371944557748757,0.2589367875777697
campus_challenge_r1_submission_v10_063,0.7620335485363715,0.6064271715381989,0.6193648206181444,0.36572622931763027,0.5748424437831727,1.0,0.4070757265493243,0.19596980807233427,0.31975436251737066,0.055578846420091796
campus_challenge_r1_v7_submission_067,0.5541372394141957,0.5795569562937798,0.5937974460039477,0.4802928948339936,0.7164646167781729,0.4070757265493243,0.9999999999999999,0.2137945887988055,0.5742235303061414,0.05586840631294949
submission (1)_053,0.35113304711154353,0.35159127533489026,0.35378227216515956,0.23865078238517004,0.5692975831129934,0.19596980807233427,0.2137945887988055,1.0,0.015653148157428277,0.12913693356176825
submission1_50,0.22984074919685762,0.20143521306522721,0.23533248964494305,0.43004946338271527,0.5371944557748757,0.31975436251737066,0.5742235303061414,0.015653148157428277,1.0,0.0468632084111861
submission2_26,0.10176674989615503,0.11921280722945597,0.1182540478700256,0.5783072271125166,0.2589367875777697,0.055578846420091796,0.05586840631294949,0.12913693356176825,0.0468632084111861,1.0
