,AMEX_R1_BEST_087,AMEX_R1_LTV_Model_079,AMEX_R1_NetProfit_Model_077,campus_challenge_r1_submission_deepank_1 (2)_049,campus_challenge_r1_submission_ensemble_066,campus_challenge_r1_submission_v10_063,campus_challenge_r1_v7_submission_067,submission (1)_053,submission1_50,submission2_26
AMEX_R1_BEST_087,1.0,0.9210650802146705,0.9159703226826018,0.39535096796521146,0.6861656775324295,0.7751775759699466,0.5831505712856937,0.38493466749149724,0.1319374045635623,0.042067992399306885
AMEX_R1_LTV_Model_079,0.9210650802146705,0.9999999999999998,0.9935105953229196,0.3507646024160965,0.7083872358667531,0.6756197966585679,0.6229852967943257,0.43053373325253125,0.18315998863588825,0.04462258393398123
AMEX_R1_NetProfit_Model_077,0.9159703226826018,0.9935105953229196,1.0,0.3321927172572649,0.6931332975117113,0.6843294873590516,0.6293554387899497,0.41431025020661666,0.20652338833527836,0.0455165070849078
campus_challenge_r1_submission_deepank_1 (2)_049,0.39535096796521146,0.3507646024160965,0.3321927172572649,1.0,0.638801345248266,0.30956319103684454,0.385995802195863,0.21886745533431448,0.44038240953322877,0.5900112250121748
campus_challenge_r1_submission_ensemble_066,0.6861656775324295,0.7083872358667531,0.6931332975117113,0.638801345248266,0.9999999999999998,0.5207405763628206,0.8406459467426978,0.5654589507329343,0.5385158547706911,0.22091148406145952
campus_challenge_r1_submission_v10_063,0.7751775759699466,0.6756197966585679,0.6843294873590516,0.30956319103684454,0.5207405763628206,0.9999999999999998,0.4605470901759531,0.16934060683991445,0.26925376562642733,0.052739406458461056
campus_challenge_r1_v7_submission_067,0.5831505712856937,0.6229852967943257,0.6293554387899497,0.385995802195863,0.8406459467426978,0.4605470901759531,1.0,0.24596494555938078,0.5084146250434749,0.06957490566334953
submission (1)_053,0.38493466749149724,0.43053373325253125,0.41431025020661666,0.21886745533431448,0.5654589507329343,0.16934060683991445,0.24596494555938078,0.9999999999999998,0.09713185720465384,0.08889814886870953
submission1_50,0.1319374045635623,0.18315998863588825,0.20652338833527836,0.44038240953322877,0.5385158547706911,0.26925376562642733,0.5084146250434749,0.09713185720465384,0.9999999999999998,0.15997598408817795
submission2_26,0.042067992399306885,0.04462258393398123,0.0455165070849078,0.5900112250121748,0.22091148406145952,0.052739406458461056,0.06957490566334953,0.08889814886870953,0.15997598408817795,1.0
