,AMEX_R1_BEST_087,AMEX_R1_LTV_Model_079,AMEX_R1_NetProfit_Model_077,campus_challenge_r1_submission_deepank_1 (2)_049,campus_challenge_r1_submission_ensemble_066,campus_challenge_r1_submission_v10_063,campus_challenge_r1_v7_submission_067,submission (1)_053,submission1_50,submission2_26
AMEX_R1_BEST_087,1.0,0.70353,0.71597,0.39746,0.49291,0.70882,0.29927,0.3113,0.12922,0.19008
AMEX_R1_LTV_Model_079,0.70353,1.0,0.97409,0.27273,0.44415,0.65553,0.29281,0.31708,0.17205,0.18762
AMEX_R1_NetProfit_Model_077,0.71597,0.97409,1.0,0.29081,0.46436,0.64867,0.3011,0.34008,0.17251,0.18579
campus_challenge_r1_submission_deepank_1 (2)_049,0.39746,0.27273,0.29081,1.0,0.55585,0.28,0.29452,0.33868,0.30063,0.38796
campus_challenge_r1_submission_ensemble_066,0.49291,0.44415,0.46436,0.55585,1.0,0.33964,0.54149,0.5366,0.41116,0.23434
campus_challenge_r1_submission_v10_063,0.70882,0.65553,0.64867,0.28,0.33964,1.0,0.22739,0.1944,0.11211,0.21812
campus_challenge_r1_v7_submission_067,0.29927,0.29281,0.3011,0.29452,0.54149,0.22739,1.0,0.28816,0.54463,0.18173
submission (1)_053,0.3113,0.31708,0.34008,0.33868,0.5366,0.1944,0.28816,1.0,0.26268,0.17323
submission1_50,0.12922,0.17205,0.17251,0.30063,0.41116,0.11211,0.54463,0.26268,1.0,0.24062
submission2_26,0.19008,0.18762,0.18579,0.38796,0.23434,0.21812,0.18173,0.17323,0.24062,1.0
